name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Viner, Charles (1678-1756)",,,,,legal author,legal author,http://www.oxforddnb.com/view/article/28317?docPos=1
"Voiture,  (1597-1648)",,,,,,,
"Voltaire,  (1694-1778)",,,,,historian,historian,http://www.oxforddnb.com/view/article/68321?docPos=1
"W, ",,,,,,,
"Wadsworth, Benjamin (1670-1737)",,,,,,,
"Wainhouse, Richard (1700-1762)",,,,,,,
"Walker, Edward (1612-1677)",,royalist,,in Okie,,Big time Royalist (Oakie mentions),http://www.oxforddnb.com/view/article/28475?docPos=1
"Walker, John (1674-1747)",,,church of England,,historian,Church of England historian,http://www.oxforddnb.com/view/article/28496?docPos=5
"Walkingame, Francis (1723-1783)",,,,,writer on artithmetic,writer on artithmetic,http://www.oxforddnb.com/view/article/28521
"Wallace, George (1727-1805)",Scot,,,pro-Hume,,"Scot, close to Hume",http://www.oxforddnb.com/view/article/28539?docPos=1
"Wallace, Robert (1697-1771)",,,,,lawyer,"Robert Wallace son, lawyer",http://www.oxforddnb.com/view/article/28539/28531
"Wallis, John (1714-1793)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/28573?docPos=2
"Walpole, Horace (1717-1797)",,whig,,,historian,whig historian,http://www.oxforddnb.com/view/article/28596?docPos=2
"Walpole, Robert (1676-1745)",,whig,,pro-Walpole,,court whig,http://www.oxforddnb.com/view/article/28601?docPos=2
"Ward, Edward (1667-1731)",,tory,high-church,,satirist,"high-church tory, satirist",http://www.oxforddnb.com/view/article/28682?docPos=2
"Ward, John (1679-1758)",,,dissenter,,antiquary,antiquary dissenter,http://www.oxforddnb.com/view/article/28692?docPos=6
"Ward, John (1698-1709)",,,Catholick,,controversialist,Roman Catholic controversialist,http://www.oxforddnb.com/view/article/28707?docPos=2
"Ward, Thomas (1652-1708)",,,,,,,
"Ware, James (1594-1666)",Irish,,,,historian,Irish historian,http://www.oxforddnb.com/view/article/28729?docPos=5
"Warner, Ferdinando (1703-1768)",,whig,,moderate,,moderate whig,http://www.oxforddnb.com/view/article/28756?docPos=7
"Warren, Robert (1680-1740)",,,,,,,
"Warton, Thomas (1728-1790)",,,,,poet and history of poetry,poet and history of poetry,http://www.oxforddnb.com/view/article/28799?docPos=5
"Warwick, Philip (1609-1683)",,royalist,,pro-Charles I,,"Favourable portrait of Charles I, royalist, memoirs",http://www.oxforddnb.com/view/article/28800?docPos=40
"Waterland, Daniel (1683-1740)",,,,orthodox in religion,,religious orthodox,http://www.oxforddnb.com/view/article/28815
"Watson, John (1725-1783)",,whig,,,,whig,http://www.oxforddnb.com/view/article/28845?docPos=6
"Watson, Joseph (1681-1737)",,,,,,,
"Watson, William (1637-1689)",,,,,,,
"Watts, Isaac (1674-1748)",,whig,,,,whig,http://www.oxforddnb.com/view/article/28888?docPos=1
"Watts, Thomas (1665-1739)",,,,,,,
"Webb, Philip Carteret (1700-1770)",,whig,,,,whig,http://www.oxforddnb.com/view/article/28929?docPos=2
"Weldon, Anthony (1728-1649)",,parliamentarian,,,,"syntym_vuosiv__rin, kuolinvuosi oikein, kuningasta vastaan kirjoittanut tyyppi",http://www.oxforddnb.com/view/article/28988?docPos=1
"Wells, Edward (1667-1727)",,tory,high-church,,,high-church tory,http://www.oxforddnb.com/view/article/29012
"Welwood, James (1652-1727)",Scot,whig,,,,"Scot, whig",http://www.oxforddnb.com/view/article/29023?docPos=2
"Wesley, John (1703-1791)",,,methodism,America,,"Church of England, America, founder of methodism",http://www.oxforddnb.com/view/article/29069?docPos=9
"Wesley, Samuel (1662-1735)",,,"Church of England,",,,Church of England,http://www.oxforddnb.com/view/article/29070?docPos=11
"Weston, Thomas",,,,,,,
"Wharton, Philip (1698-1731)",,jacobite,,rake,,"Jacobite, rake",http://www.oxforddnb.com/view/article/29171?docPos=15
"Wheatly, Charles (1686-1742)",,tory,high-church,,,high-church tory,http://www.oxforddnb.com/view/article/29183
"Whitefield, George (1714-1770)",,,methodist ,,leader of movement,Calvinist methodist leader,http://www.oxforddnb.com/view/article/29281?docPos=2
"Whitehead, George (1636-1723)",,,quaker,,,quaker,http://www.oxforddnb.com/view/article/29287?docPos=8
"Whitehead, William (1715-1785)",,,,,playwright,playwright. ,http://www.oxforddnb.com/view/article/29294?docPos=20
"Whiting, Charles (1661-1711)",,,,,,,
"Whitlocke, Bulstrode (1605-NA)",,parliamentarian,,anti-Charles I,,"Parliamentarian, main guy writing about Charles I, in eighteenth-century by whigs contrasted to tory Clarendon as a whig, reprint 1732",
"Wilkins, David (1685-1745)",,,,,Coptic scholar,Coptic scholar,http://www.oxforddnb.com/view/article/29417?docPos=3
"Willis, Browne (1682-1760)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/29577?docPos=7
"Willymott, William (NA-1737)",,,,,grammarian,grammarian,http://www.oxforddnb.com/view/article/29618
"Wilson, Henry (1673-1741)",,,,,,,
"Wingate, Edmund (1596-1656)",,,,,legal author,legal author,http://www.oxforddnb.com/view/article/29732?docPos=1
"Wingfield, Thomas (1710-1773)",,,,,,,
"Winstanley, William (1628-1698)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/29760?docPos=9
"Wise, John (1652-1725)",,,,,,,
"Wise, Thomas (1670-1726)",,,,,,,
"Wishart, George (1599-1671)",Scot,royalist,,,,"Scot, royalist",http://www.oxforddnb.com/view/article/29794?docPos=4
"Wodrow, Robert (1679-1734)",Scot,,,anti-presbyterian,,"Scot, anti-presbyterian",http://www.oxforddnb.com/view/article/29819?docPos=4
"Wood, Anthony à (1632-1695)",,,,,antiquary,antiquary,http://www.oxforddnb.com/view/article/29864
"Wood, Thomas (1661-1722)",,,,,legal author,legal author,http://www.oxforddnb.com/view/article/29895?docPos=5
"Wood, William (1679-1765)",,,,,,,
"Woodward, Samuel (1727-1782)",,,,,,,
"Worley, Thomas",,,,,,,
"Wotton, Thomas (NA-1766)",,,,,publisher of history,publisher of history,http://www.oxforddnb.com/view/article/30004?docPos=2
"Wright, Abraham Ben Little",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/30027?docPos=13
"Wright, S (1683-1746)",,whig,presbyterian,,,presbyterian whig,http://www.oxforddnb.com/view/article/30057?docPos=79
"Wynne, William (1692-1765)",,,,,,,
