name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Butler, Samuel (1612-1680)",,,anglican,,poet,"Poet, Anglican",http://www.oxforddnb.com/view/article/4204?docPos=78
"C, ",,,,,,,
"Calamy, Edmund (1671-1732)",,,Prebyterian,nonconformist,,"Prebyterian, nonconformist",http://www.oxforddnb.com/view/article/4357?docPos=4
"Calder, Robert (1658-1723)",Scot,tory,episcopalian,anti-presbyterian,,"Scot, episcopalian, anti-presbyterian",http://www.oxforddnb.com/view/article/4369?docPos=7
"Calmet, Augustin (1672-1757)",,,,,,,
"Camden, William (1551-1623)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/4431?docPos=2
"Campbell, John (NA-1775)",Scot,,,,historian,Scot historian,http://www.oxforddnb.com/view/article/4514?docPos=13
"Campbell, Robert",,,,,,,
"Cantillon, Richard (NA-1734)",,,,,economist,economist (interesting that he is here!),http://www.oxforddnb.com/view/article/4575
"Care, Henry (1646-1688)",,royalist,,pro-James I,,"Polemist, defender of James I",http://www.oxforddnb.com/view/article/4621
"Carte, Thomas (1686-1754)",,jacobite,,,,Tory and Jacobite,http://www.oxforddnb.com/view/article/4780
"Carteret, John (1690-1763)",,royalist,,anti-Walpole,,"Royalist tory, anti-Walpole",http://www.oxforddnb.com/view/article/4804?docPos=3
"Cary, John (1754-1720)",,,,economic minded,author,economically minded author,http://www.oxforddnb.com/view/article/4840?docPos=3
Cato Brutus,,,,,,,
"Catrou, François (1659-1737)",,,,,,,
"Cavendish, George (1500-1561)",,royalist,,,,royalist,http://www.oxforddnb.com/view/article/4933?docPos=9
"Chamberlen, Paul (1635-1717)",,,,,quack doctor,quack doctor,http://www.oxforddnb.com/view/article/58754/5064?docPos=7
"Chambers, Ephraim (1680-1740)",,,freethinker,,encyclopeadist,Freethinking encyclopeadist,http://www.oxforddnb.com/view/article/5070?docPos=10
"Chandler, Samuel (1693-1766)",Scot,,dissenter,,,"Dissenter, Scot",http://www.oxforddnb.com/view/article/5109?docPos=16
"Charles,  (1600-1649)",,royalist,,Charles I,monarch,,http://www.oxforddnb.com/view/article/5143?docPos=1
"Churchill, James (1762-NA)",,,,,,,
Citizen And Native Of London,,,,,,,
"Clancy, Michael (1700-1750)",,,,playwright,physician,Physician and playwright,http://www.oxforddnb.com/view/article/46671
"Clare, M (NA-1751)",,,,,,,
"Clarendon, Edward Hyde (1609-1674)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/14328?docPos=2
"Clarke, Laurence",,,,,,,
"Cleaveland, Ezra",,,,,,,
