ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0357-1521,01.01.1970,31.12.1970,43878,
0357-1521,01.01.1964,31.12.1964,57000,
0357-1521,01.01.1960,31.12.1960,54000,
0357-1521,01.01.1957,31.12.1957,46800,
0356-3502,01.01.2000,31.12.2000,23454,
0355-2047,01.01.2000,31.12.2000,446972,517860
fk980531,01.01.1998,31.12.1998,26000,
fk980531,01.01.1999,31.12.1999,26500,
fk980531,01.01.2000,27.12.2000,26500,
0786-2202,01.01.1985,31.12.1985,9613,
0786-2202,01.01.1980,31.12.1980,9259,
0786-2202,01.01.1975,31.12.1975,9253,
0786-2202,01.01.1970,31.12.1970,8147,
0786-2202,01.01.1965,31.12.1965,7123,
0786-2202,01.01.1960,31.12.1960,5663,
0786-2202,01.01.1953,31.12.1953,5200,
0359-1441,01.01.1985,31.12.1985,6297,
0359-1441,01.01.1982,31.12.1982,4975,
0782-6206,01.01.1980,31.12.1980,2918,
0782-6206,01.01.1974,31.12.1974,2638,
1237-721X,01.01.1999,31.12.2000,39200,
1239-4343,01.01.1997,31.12.1998,6741,
1239-4343,01.01.1999,31.12.2001,6585,
0356-1356,01.01.2000,31.12.2000,82842,
1237-721X,01.01.2001,29.12.2002,52000,
1458-0683,01.01.1863,31.12.1863,671,
1458-0683,01.01.1862,31.12.1862,765,
1458-0683,01.01.1864,31.12.1864,633,
1458-0683,01.01.1865,31.12.1865,754,
1458-0683,01.01.1868,31.12.1868,239,
1458-0683,01.01.1883,31.12.1883,1200,
1458-0683,01.01.1884,31.12.1884,1500,
1458-0683,01.01.1885,31.12.1885,1523,
0356-1399,01.01.1985,31.12.1985,8782,
0356-1399,01.01.1980,31.12.1980,8064,
0356-1399,01.01.1976,31.12.1976,7366,
0356-1399,01.01.1970,31.12.1970,6911,
0356-1399,01.01.1967,31.12.1967,6000,
0355-3787,01.01.1985,31.12.1985,131138,
0355-3787,01.01.1980,31.12.1980,126305,
0355-3787,01.01.1975,31.12.1975,132400,
0355-3787,01.01.1969,31.12.1969,149900,
0355-3787,01.01.1965,31.12.1965,157957,
0355-3787,01.01.1960,31.12.1960,154800,
0355-3787,01.01.1956,31.12.1956,140759,
0355-3787,01.01.1950,31.12.1950,92415,
0355-3787,01.01.1945,31.12.1945,51380,
0355-3787,01.01.1940,31.12.1940,40646,
0355-3787,01.01.1935,31.12.1935,26392,
0355-3787,01.01.1930,31.12.1930,20423,
0355-3787,01.01.1925,31.12.1925,13096,
0355-3787,01.01.1920,31.12.1920,6800,
0355-3787,01.01.1917,31.12.1917,5463,
0356-1399,01.01.2000,31.12.2001,9099,
0356-3510,01.01.2000,31.12.2000,67185,
0356-0724,01.01.2000,31.12.2000,53605,56059
0789-6700,01.01.2000,31.12.2000,27408,
0357-9298,01.01.2000,31.12.2000,29974,
1237-0363,01.01.1997,31.12.1997,40300,
1237-0363,01.01.1998,31.12.1998,40500,
1237-0363,01.01.1999,31.12.1999,41080,
1237-0363,01.01.2000,31.12.2000,41568,
1237-0363,01.01.2001,31.12.2001,42300,
0359-1441,01.01.2000,31.12.2000,6719,
0355-9149,01.01.2000,31.12.2001,10876,
0782-6206,01.01.1999,31.12.2000,5753,
0356-1283,01.01.2000,31.12.2000,54976,
0789-8150,01.01.1984,31.12.1984,7199,
0789-8150,01.01.1980,31.12.1980,6901,
0789-8150,01.01.1975,31.12.1975,5388,
0789-8150,01.01.1970,31.12.1970,4305,
0789-8150,01.01.1967,31.12.1967,3800,
0789-8150,01.01.2000,31.12.2000,5354,
0356-1844,01.01.2000,31.12.2000,26481,
1455-6308,01.01.2000,31.12.2000,23454,40390
0355-2055,01.01.2001,31.12.2001,214610,
0356-1674,01.01.2000,31.12.2000,12635,
0358-6294,01.01.1998,31.12.1998,8831,
0358-6294,01.01.1999,31.12.1999,8569,
0358-6294,01.01.2000,31.12.2000,8640,
0358-6294,01.01.2001,31.12.2001,8568,
0782-663X,01.01.2000,31.12.2000,14524,
0782-663X,01.01.2001,31.12.2002,14545,
1457-4713,05.09.1863,31.12.1863,904,
1457-4713,01.01.1864,31.12.1864,545,
1457-4713,01.01.1865,31.12.1865,656,
1458-0551,06.09.1861,27.12.1861,700,
fk14352,01.01.1997,31.12.1998,1873,
fk14352,01.01.1999,31.12.1999,1774,
fk14352,01.01.2000,31.12.2001,1769,
0786-2202,01.01.1999,31.12.1999,7193,
0786-2202,01.01.2000,31.12.2000,7053,
1458-0829,01.01.1863,31.12.1863,600,
1458-0810,03.09.1864,19.05.1865,1200,
0782-5404,01.01.2001,31.12.2001,21910,
0782-582X,01.01.1998,31.12.1999,4606,
0782-582X,01.01.2000,31.12.2002,4396,
0782-596X,01.01.1999,31.12.2000,7914,
2323-4253,01.01.1999,31.12.2002,6363,
0784-6568,01.01.1970,31.12.1970,2170,
0784-6568,01.01.1965,31.12.1965,1860,
0784-6568,01.01.1960,31.12.1960,1497,
fk14352,01.01.1984,31.12.1984,1264,
0782-596X,01.01.1985,31.12.1985,8474,
0782-596X,01.01.1980,31.12.1980,7267,
0782-596X,01.01.1976,31.12.1976,6371,
0782-596X,01.01.1970,31.12.1970,4618,
0782-596X,01.01.1966,31.12.1966,4009,
0782-596X,01.01.1960,31.12.1960,3800,
0782-596X,01.01.1948,31.12.1948,2800,
0782-596X,01.01.1945,31.12.1945,2370,
0782-596X,01.01.1940,31.12.1943,2200,
0782-596X,01.01.1928,31.12.1928,1300,
0356-4894,01.01.1985,31.12.1985,8767,
0356-4894,01.01.1980,31.12.1980,7737,
0356-4894,01.01.1975,31.12.1975,5310,
0357-9301,01.01.1985,31.12.1985,7538,
0357-9301,01.01.1980,31.12.1980,6822,
0357-9301,01.01.1975,31.12.1975,5207,
0789-8274,01.01.1980,31.12.1980,4094,
0789-8274,01.01.1975,31.12.1975,3500,
0357-0975,01.01.2000,31.12.2000,34419,
0789-8193,01.01.1984,31.12.1984,3715,
0789-8193,01.01.1980,31.12.1980,3573,
0789-8193,01.01.1975,31.12.1975,3150,
fk11098,01.01.1971,31.12.1971,2718,
fk11098,01.01.1964,31.12.1964,1820,
0782-5781,01.01.1975,31.12.1975,3024,
0782-5781,01.01.1970,31.12.1970,1225,
0358-4410,01.01.1980,31.12.1980,5790,
0358-4410,01.01.1976,31.12.1976,5583,
0358-4410,01.01.1970,31.12.1970,4135,
0358-4410,25.01.1967,31.12.1967,4542,
0782-6753,01.01.1984,31.12.1984,6219,
0782-6753,01.01.1980,31.12.1980,5602,
0782-6753,01.01.1977,31.12.1977,4295,
0357-9107,01.01.1984,31.12.1984,5003,
0357-9107,01.01.1980,31.12.1980,4573,
0357-9107,01.01.1974,31.12.1974,4089,
0357-9107,01.01.1970,31.12.1970,3290,
0357-9107,01.01.1965,31.12.1965,3842,
0357-9107,01.01.1960,31.12.1960,3063,
0357-9107,01.01.1955,31.12.1955,1980,
0786-5511,01.01.1980,31.12.1980,5746,
0786-5511,01.01.1976,31.12.1976,5139,
0786-5511,01.01.1968,31.12.1968,4575,
0786-5511,01.01.1960,31.12.1960,4300,
fk14497,01.01.1984,31.12.1984,7903,
fk14497,01.01.1980,31.12.1980,7418,
fk14497,01.01.1976,31.12.1976,6771,
fk14497,01.01.1970,31.12.1970,5129,
fk14497,01.01.1965,31.12.1965,3700,
0782-5994,01.01.1984,31.12.1984,3245,
0782-5994,01.01.1980,31.12.1980,2914,
0782-5994,01.01.1976,31.12.1976,2428,
0782-5994,01.01.1970,31.12.1970,1890,
0782-5994,01.01.1965,31.12.1965,1750,
0782-5994,01.01.1960,31.12.1960,1050,
0782-5994,01.01.1955,31.12.1955,1150,
0782-5994,01.01.1950,31.12.1950,900,
0782-5994,01.01.1949,31.12.1949,750,
0782-6001,01.01.1972,31.12.1972,760,
0357-0983,01.01.1985,31.12.1985,3424,
0357-0983,01.01.1980,31.12.1980,3331,
0357-0983,01.01.1975,31.12.1975,3088,
0357-0983,01.01.1970,31.12.1970,2857,
0357-0983,01.01.1967,31.12.1967,3014,
0782-6427,01.01.1977,31.12.1977,2700,
0784-1663,01.01.1984,31.12.1984,5215,
0784-1663,01.01.1980,31.12.1980,5170,
0784-1663,01.01.1974,31.12.1974,4716,
0784-1663,01.01.1970,31.12.1970,4312,
0784-1663,01.01.1965,31.12.1965,3697,
0784-1663,01.01.1960,31.12.1960,2845,
0784-1663,01.01.1959,31.12.1959,2200,
1235-9963,01.01.1984,31.12.1984,8451,
1235-9963,01.01.1980,31.12.1980,7511,
1235-9963,01.01.1973,31.12.1973,5812,
1235-9963,01.01.1970,31.12.1970,4522,
1235-9963,01.01.1965,31.12.1965,3960,
1235-9963,01.01.1963,31.12.1963,2910,
0782-5978,01.01.1984,31.12.1984,8423,
0782-5978,01.01.1978,31.12.1978,6665,
0782-5978,01.01.1970,31.12.1970,3676,
0782-5978,01.01.1965,31.12.1965,2700,
0782-5978,01.01.1960,31.12.1960,2200,
0782-5978,01.01.1953,31.12.1953,2700,
0782-5978,01.01.1945,31.12.1945,2100,
0782-5978,01.01.1939,31.12.1939,1500,
0356-2360,01.01.1980,31.12.1980,2862,
0356-2360,01.01.1975,31.12.1975,2925,
0356-2360,01.01.1970,31.12.1970,2594,
0356-2360,01.01.1965,31.12.1965,1900,
0356-2360,01.01.1960,31.12.1960,2050,
0782-6354,01.01.1980,31.12.1980,4097,
0782-6354,01.01.1975,31.12.1975,3687,
0782-6354,01.01.1970,31.12.1970,3109,
0782-6354,01.01.1965,31.12.1965,3052,
0782-6354,01.01.1960,31.12.1960,2500,
0782-6354,01.01.1954,31.12.1954,2000,
0355-8754,01.01.1985,31.12.1985,9455,
0355-8754,01.01.1980,31.12.1980,8634,
0355-8754,01.01.1975,31.12.1975,7110,
0355-8754,01.01.1970,31.12.1970,3729,
0355-8754,01.01.1969,31.12.1969,2915,
0357-1378,01.01.1985,31.12.1985,16259,
0357-1378,01.01.1980,31.12.1980,13654,
0357-1378,01.01.1976,31.12.1976,13384,
0357-1378,01.01.1970,31.12.1970,13384,
0357-1378,01.01.1965,31.12.1965,12602,
0357-1378,01.01.1960,31.12.1960,12700,
0357-1378,01.01.1956,31.12.1956,11251,
0357-1378,01.01.1945,31.12.1945,10505,
0357-1378,01.01.1940,31.12.1940,13000,
0357-1378,01.01.1935,31.12.1935,9000,
0357-1378,01.01.1931,31.12.1931,7100,
0357-1378,01.01.1925,31.12.1925,5000,
0357-1378,01.01.1919,31.12.1919,9000,
1235-8223,01.01.1980,31.12.1980,4729,
1235-8223,01.01.1976,31.12.1976,4521,
1235-8223,01.01.1970,31.12.1970,4104,
1235-8223,01.01.1966,31.12.1966,2855,
1235-8223,27.04.1962,31.12.1962,1150,
0782-5587,01.01.1984,31.12.1984,8657,
0782-5587,01.01.1980,31.12.1980,8352,
0782-5587,01.01.1976,31.12.1976,7123,
0782-5587,01.01.1970,31.12.1970,5540,
0782-5587,01.01.1965,31.12.1965,5227,
0782-5587,01.01.1960,31.12.1960,4900,
0782-5587,01.01.1945,31.12.1945,3650,
0782-5587,01.01.1940,31.12.1940,2570,
0782-5587,01.01.1935,31.12.1935,1561,
0782-5587,01.01.1931,31.12.1931,1664,
0782-5366,01.01.1975,31.12.1975,4399,
0782-5366,01.01.1970,31.12.1970,3799,
0782-5366,01.01.1965,31.12.1965,4131,
0782-5366,01.01.1960,31.12.1960,3216,
1236-4932,01.01.1980,31.12.1980,2300,
1236-4932,01.01.1975,31.12.1975,2200,
0359-6087,01.01.1970,31.12.1970,6369,
0359-6087,01.01.1965,31.12.1965,5795,
0359-6087,01.01.1960,31.12.1960,4600,
0359-6087,01.01.1955,31.12.1955,3162,
0782-5579,01.01.1985,31.12.1985,8578,
0782-5579,01.01.1980,31.12.1980,8392,
0782-5579,01.01.1976,31.12.1976,8456,
0782-5579,01.01.1970,31.12.1970,7597,
0782-5579,01.01.1965,31.12.1965,6118,
0782-5579,01.01.1960,31.12.1960,4157,
1236-8407,01.01.1985,31.12.1985,7643,
1236-8407,01.01.1980,31.12.1980,7253,
1236-8407,01.01.1970,31.12.1970,3580,
1236-8407,01.01.1965,31.12.1965,3154,
0782-601X,01.01.1975,31.12.1975,3958,
0782-601X,01.01.1972,31.12.1972,3450,
0782-5382,01.01.1985,31.12.1985,6167,
0782-5382,01.01.1980,31.12.1980,5910,
0782-5382,01.01.1974,31.12.1974,5704,
0782-5382,01.01.1970,31.12.1970,5318,
0782-5382,01.01.1968,31.12.1968,5273,
0358-1934,01.01.1985,31.12.1985,8399,
0358-1934,01.01.1980,31.12.1980,7399,
0358-1934,01.01.1975,31.12.1975,7327,
0358-1934,01.01.1970,31.12.1970,6059,
0358-1934,01.01.1965,31.12.1965,5464,
0358-1934,01.01.1960,31.12.1960,4568,
0358-1934,01.01.1955,31.12.1955,4163,
0358-1934,01.01.1950,31.12.1950,3404,
0358-1934,01.01.1945,31.12.1945,2695,
0789-8142,01.01.1985,31.12.1985,7613,
0789-8142,01.01.1981,31.12.1981,6316,
0789-8142,01.01.1976,31.12.1976,5948,
0789-8142,01.01.1970,31.12.1970,4102,
0789-8142,01.01.1965,31.12.1965,2000,
0356-1631,01.01.1985,31.12.1985,22000,
0356-1631,01.01.1980,31.12.1980,25000,
0356-1631,01.01.1975,31.12.1975,23000,
0356-1631,01.01.1972,31.12.1972,15550,
0782-5986,01.01.1981,31.12.1981,5767,
0782-5986,01.01.1975,31.12.1975,4153,
0782-5986,01.01.1970,31.12.1970,3763,
0782-5986,01.01.1965,31.12.1965,3550,
0782-5986,01.01.1960,31.12.1960,3100,
0782-5986,01.01.1955,31.12.1955,2000,
0782-5358,01.01.1985,31.12.1985,5940,
0782-5358,01.01.1979,31.12.1979,4971,
0782-5358,01.01.1975,31.12.1975,4503,
0782-5358,01.01.1970,31.12.1970,3765,
0782-5358,01.01.1963,31.12.1963,3212,
0782-5358,01.01.1960,31.12.1960,3125,
0782-5358,01.01.1952,31.12.1952,3000,
0782-5358,01.01.1945,31.12.1945,2578,
0782-5358,01.01.1918,31.12.1918,1220,
0356-1860,01.01.1985,31.12.1985,8678,
0356-1860,01.01.1980,31.12.1980,7606,
0356-1860,01.01.1975,31.12.1975,6858,
0356-1860,01.01.1970,31.12.1970,6150,
0356-1860,01.01.1965,31.12.1965,5200,
0356-1860,01.01.1960,31.12.1960,5100,
0356-1860,01.01.1956,31.12.1956,5500,
0356-1860,01.01.1950,31.12.1950,5675,
0356-1860,01.01.1945,31.12.1945,4473,
0356-1860,01.01.1919,31.12.1919,3200,
0356-1860,01.01.1915,31.12.1916,3000,
0356-1860,01.01.1911,31.12.1911,2600,
0356-1860,01.01.1905,31.12.1905,2200,
0356-1860,01.01.1900,31.12.1900,1500,
0356-1860,01.01.1897,31.12.1897,1200,
0789-8169,01.01.1984,31.12.1984,14938,
0789-8169,01.01.1980,31.12.1980,16417,
0789-8169,01.01.1976,31.12.1976,14747,
0789-8169,01.01.1972,31.12.1972,12371,
0789-8169,01.01.1957,31.12.1957,9400,
0789-8169,01.01.1945,31.12.1945,8221,
0789-8169,01.01.1942,31.12.1942,4500,
1236-7796,01.01.1984,31.12.1984,5383,
1236-7796,01.01.1980,31.12.1980,5185,
1236-7796,01.01.1975,31.12.1975,4473,
1236-7796,01.01.1971,31.12.1971,3878,
1236-7796,15.01.1969,31.12.1969,2437,
fk17328,01.01.1953,31.12.1953,2000,
0782-5609,01.01.1975,31.12.1975,2000,
0782-5609,01.01.1972,31.12.1972,350,
1458-0632,01.01.1885,31.12.1885,2065,
1458-0632,01.01.1886,31.12.1886,1873,
1458-0632,01.01.1890,31.12.1890,1850,
1458-0632,01.01.1891,31.12.1891,1750,
1458-0632,01.01.1892,31.12.1892,1500,
0782-5625,01.01.1976,31.12.1976,5400,
0782-5625,01.01.1970,31.12.1970,3950,
0782-5625,01.01.1967,31.12.1967,3000,
0356-228X,01.01.1980,31.12.1980,3000,
0356-228X,01.01.1975,31.12.1975,2850,
0356-228X,01.01.1970,31.12.1970,2150,
0356-228X,01.01.1965,31.12.1965,2150,
0356-228X,01.01.1963,31.12.1963,2020,
0782-6605,01.01.1984,31.12.0198,2252,
0782-6605,01.01.1980,31.12.1980,2100,
0782-6605,01.01.1975,31.12.1975,1980,
0782-6605,01.01.1970,31.12.1970,2010,
0782-6605,01.01.1965,31.12.1965,2210,
0782-6605,01.01.1955,31.12.1955,1595,
0782-6605,01.01.1944,31.12.1944,1000,
0782-6605,01.01.1939,31.12.1939,1340,
0782-5595,01.01.1985,31.12.1985,5922,
0782-5595,01.01.1980,31.12.1980,5551,
0782-5595,01.01.1976,31.12.1976,5434,
0782-5595,01.01.1945,31.12.1945,3850,
0356-1291,01.01.1984,31.12.1984,4533,
0356-1291,01.01.1980,31.12.1980,4386,
0356-1291,01.01.1970,31.12.1970,3044,
0356-1291,01.01.1965,31.12.1965,3186,
0356-1291,01.01.1962,31.12.1962,2460,
0356-1291,01.01.1954,31.12.1954,1000,
0356-1291,01.01.1946,31.12.1946,1558,
0356-1291,01.01.1923,31.12.1923,1000,
fk10017,01.01.1910,31.12.1910,1600,
fk10017,01.01.1911,31.12.1911,2700,
fk10017,01.01.1912,31.12.1912,3000,
fk10017,01.01.1913,31.12.1913,4000,
fk10017,01.01.1915,31.12.1915,3516,
fk10017,01.01.1916,31.12.1916,4687,
0356-1283,01.01.2002,31.12.2002,55734,
0782-7024,01.01.2001,10.12.2003,14000,
1455-6308,01.01.2002,31.12.2002,32513,
0356-0724,01.01.2002,31.12.2003,51203,
0789-6700,01.01.2002,31.12.2002,26311,
0357-2021,01.01.2002,31.12.2002,21666,
0789-0737,01.01.2003,31.12.2003,32600,
0355-6913,01.01.2003,31.12.2003,136028,
0356-3588,01.01.2002,31.12.2003,7689,
1458-0705,07.06.1893,29.03.1895,3500,
0782-5404,01.01.2002,31.12.2002,21739,
0782-6559,04.01.1889,31.12.1899,450,
0782-6559,01.01.1900,31.12.1908,600,
0782-6559,01.01.1909,31.12.1921,1650,
fk10119,01.01.1900,21.12.1900,1010,
0782-5579,01.01.2002,31.12.2002,5069,
0782-6419,01.01.2002,31.12.2002,16903,
fk01050,01.08.1912,30.06.1914,,
0356-1844,01.01.2002,31.12.2002,26084,
0782-6397,01.01.2002,31.12.2002,6613,
0784-428X,01.01.2002,31.12.2002,3249,
0788-8325,01.01.2002,31.12.2002,27840,
fk10120,01.01.1905,31.12.1905,1200,
fk10120,01.01.1906,18.08.1906,1500,
0359-6753,01.01.2002,31.12.2002,34924,
fk14755,01.01.1896,,1250,
0359-5056,01.01.2002,31.12.2002,62155,
0782-5528,01.01.2002,31.12.2002,12447,
fk10035,01.01.1906,31.12.1906,3500,
0356-2751,01.01.2002,31.12.2002,30427,
fk10123,01.01.1900,31.12.1905,600,
fk10123,01.01.1906,31.12.1906,1100,
1458-0748,01.01.1900,31.12.1900,3000,
0356-1690,01.01.1903,31.12.1903,2700,
0356-1690,01.01.1904,31.12.1904,4100,
1458-2600,01.01.1878,31.12.1878,600,
1458-0896,02.01.1891,29.12.1891,300,
1458-0896,02.01.1892,30.12.1892,450,
1458-0896,03.01.1896,29.12.1896,800,
1458-0896,02.01.1897,30.12.1897,1400,
1458-0896,03.01.1899,30.12.1899,800,
1458-0896,04.01.1900,29.12.1900,1100,
fk10173,01.01.1906,31.12.1906,3800,
fk10173,01.01.1907,31.12.1907,7000,
fk10173,01.01.1908,31.12.1908,5800,
fk10173,01.01.1909,31.12.1909,6100,
fk10173,01.01.1910,31.12.1913,6000,
fk10173,01.01.1914,22.09.1914,7800,
fk10137,07.01.1899,,1150,
fk10128,01.01.1900,31.12.1904,1500,
fk10128,01.01.1905,24.11.1914,3500,
0355-8746,01.01.2002,31.12.2003,55904,
0356-1356,01.01.2002,31.12.2002,82566,
0787-6742,01.01.2001,31.12.2001,4823,
0356-3502,01.01.2002,31.12.2002,23024,
0359-1441,01.01.2002,31.12.2002,6502,
fk10108,01.01.1905,31.12.1905,2470,
fk10108,01.01.1914,31.12.1914,4200,
1459-8663,03.11.2003,31.12.2003,22500,47500
1459-689X,01.10.2003,30.12.2003,12000,
0782-5803,01.01.2002,31.12.2002,9916,
0782-5943,01.01.2002,30.12.2003,3925,
fk10054,01.01.1923,31.12.1923,900,
1458-2333,01.01.1893,31.12.1893,2000,
1458-2333,01.01.1895,31.12.1895,2400,
1458-2333,01.01.1899,31.12.1899,2260,
1458-2333,01.01.1900,31.12.1900,2500,
1458-2333,01.01.1905,31.12.1905,5500,
fk10183,27.11.1915,31.12.1915,9000,
fk10183,01.01.1916,31.12.1916,7000,
fk10183,01.01.1917,31.12.1917,9000,
fk10225,01.01.1898,31.12.1898,930,1050
fk10225,26.05.1897,31.12.1897,720,
fk10225,01.01.1899,31.12.1899,1000,
fk10225,01.01.1900,31.12.1900,1500,
0357-1378,01.01.2002,31.12.2002,3209,
1236-8407,01.01.2001,31.12.2001,5414,
1236-8407,01.01.2002,31.12.2003,6373,
1458-4042,19.10.2001,31.12.2003,80000,
fk01318,18.11.1897,17.12.1897,,
0782-596X,01.01.2002,31.12.2002,7987,
0357-9298,01.01.2002,31.12.2002,29409,
0356-3103,01.01.2002,31.12.2002,7681,
fk10157,01.01.1899,31.12.1899,850,
fk10149,01.01.1914,31.12.1914,1800,
1457-103X,01.01.2001,31.12.2001,6013,
1457-103X,01.01.2002,31.12.2002,5751,
1457-9545,01.01.2002,31.12.2002,17071,
0356-4541,01.01.2001,31.12.2001,4959,
0356-4541,01.01.2002,31.12.2002,5112,
0356-2492,01.01.2002,31.12.2003,8418,
fk14952,01.01.1918,31.12.1918,425,
1458-0764,01.01.1900,31.12.1900,700,
fk10278,01.01.1909,31.12.1909,4000,
fk10278,01.01.1914,31.12.1914,7000,
fk10278,01.01.1915,31.12.1915,8000,
fk10278,01.01.1916,31.12.1916,9600,
fk10278,01.01.1917,31.12.1917,9700,
fk10278,01.01.1918,31.12.1918,14000,
fk10278,01.01.1932,31.12.1932,10000,
fk10278,01.01.1939,31.12.1939,16000,
0356-2514,01.01.2002,31.12.2002,7285,
fk19511,01.01.1902,31.12.1902,4000,
fk19511,01.01.1903,31.12.1903,4800,
fk19511,01.01.1904,31.12.1904,5200,
fk19511,01.01.1906,31.12.1906,12500,
fk19511,01.01.1907,31.12.1907,12000,
fk19511,01.01.1908,31.12.1908,11000,
fk19511,01.01.1914,31.12.1914,9000,
fk19511,01.01.1915,31.12.1915,9300,
fk19511,01.01.1916,31.12.1916,12500,
fk19511,01.01.1917,31.12.1917,17500,
1239-1093,01.01.2001,31.12.2001,3548,
1239-1093,01.01.2002,31.12.2002,3510,
1456-3002,01.01.2002,31.12.2002,7267,
0787-5320,01.01.2002,31.12.2002,5354,
0788-8279,01.01.2001,31.12.2001,6060,
0788-8279,01.01.2002,31.12.2002,6058,
0783-3261,01.01.2003,31.12.2003,13172,
0782-601X,01.01.2002,31.12.2002,5280,
fk990009,01.01.2003,31.12.2003,120645,
fk990009,01.01.2004,31.12.2004,89541,
fk14497,01.01.2003,30.12.2003,6810,
2323-6760,05.01.2004,31.12.2004,6810,
0359-6753,01.01.2003,31.12.2003,34818,
0357-1858,01.01.2002,31.12.2002,13128,
0357-1858,01.01.2003,31.12.2003,13268,
0789-0796,01.01.2002,31.12.2002,7861,
0789-0796,01.01.2003,31.12.2003,7869,
0782-6559,01.01.2003,31.12.2003,10860,
0359-5064,01.01.2002,31.12.2002,12312,
0359-5064,01.01.2003,31.12.2003,12226,
0782-5404,01.01.2003,31.12.2003,21800,
0784-364X,01.01.2002,31.12.2002,7933,
0784-364X,01.01.2003,31.12.2003,7945,
0356-1402,01.01.2003,31.12.2003,75836,
0356-1356,01.01.2003,31.12.2003,81689,
0782-6419,01.01.2003,31.12.2003,16832,
0356-3502,01.01.2003,31.12.2003,22750,
0355-6913,01.01.2004,31.12.2004,136726,
0782-372X,01.01.2004,31.12.2004,22415,
0355-8754,01.01.2003,31.12.2003,10565,
0357-0975,01.01.2003,31.12.2003,33614,
0358-9161,01.01.2002,31.12.2002,8761,
0358-9161,01.01.2003,31.12.2003,8688,
1458-6630,01.01.1912,31.12.1912,3800,
0356-1623,01.01.2003,31.12.2003,25850,
0359-5056,01.01.2003,31.12.2003,61277,
1458-851X,01.11.1889,31.12.1889,518,
1458-851X,01.01.1890,31.12.1890,600,
1458-851X,01.01.1893,31.12.1893,1300,
1458-851X,01.01.1894,31.12.1894,1530,
1458-851X,01.01.1895,31.12.1896,2000,
1458-851X,01.01.1900,31.12.1900,2500,
0356-0724,01.01.2003,31.12.2004,50094,
0355-2047,01.01.2003,31.12.2003,439618,
0357-9107,01.01.2002,31.12.2002,4195,
0357-9107,01.01.2003,31.12.0003,4098,
0788-8325,01.01.2003,31.12.2003,27601,
0356-1283,01.01.2003,31.12.2003,55375,
0782-5528,01.01.2003,31.12.2003,12227,
0782-663X,01.01.2003,31.12.2003,14195,
0784-428X,01.01.2003,31.12.2003,3192,
0782-5560,01.01.2002,31.12.2002,8387,
0782-5560,01.01.2003,31.12.2003,8496,
0356-133X,01.01.2003,31.12.2003,111517,
0784-2465,01.01.2002,31.12.2002,4624,
0784-2465,01.01.2003,31.12.2003,4640,
0359-0305,01.01.2003,31.12.2003,7895,
0356-5653,01.01.2002,31.12.2002,3926,
0356-5653,01.01.2003,31.12.2003,3880,
0356-3510,01.01.2003,31.12.2003,65308,
fk14352,01.01.2002,31.12.2002,1747,
fk14352,01.01.2003,31.12.2003,1745,
0789-6700,01.01.2003,31.12.2003,25802,
0356-4886,01.01.2002,31.12.2002,8109,
0356-4886,01.01.2003,31.12.0200,8039,
0358-1934,01.01.2003,31.12.2003,7906,
fk16193,01.01.2002,31.12.2002,3225,
fk16193,01.01.2003,31.12.2003,3213,
0356-3553,01.01.2003,31.12.2003,4730,
fk10226,11.08.1897,31.12.1899,700,
fk10226,01.01.1900,22.12.1900,900,
fk10375,01.01.1901,15.03.1901,1000,
1455-6308,01.01.2003,31.12.2003,34784,
fk10227,13.12.1985,14.01.1987,1500,
0356-133X,01.01.2002,31.12.2002,112567,127863
0356-133X,01.01.2001,31.12.2001,115142,127863
0356-133X,01.01.2000,31.12.2000,114806,127845
0356-133X,01.01.1999,31.12.1999,114739,127167
0356-133X,01.01.1998,31.12.1998,113411,125318
0356-133X,01.01.1997,31.12.1997,113284,123857
0356-133X,21.06.1995,31.12.1996,111454,123857
0356-133X,01.01.1994,20.06.1995,115064,126770
0356-133X,01.01.1993,31.12.1993,119004,129915
0356-133X,01.01.1992,31.12.1992,127850,138558
0356-133X,01.01.1991,31.12.1991,134705,144786
0356-133X,01.01.1990,31.12.1990,136517,146372
0356-133X,01.01.1985,31.12.1985,131399,
0356-133X,01.01.1980,31.12.1980,130243,
0356-133X,01.01.1975,31.12.1975,126435,
0356-133X,01.01.1970,31.12.1970,108886,
0356-133X,01.01.1965,31.12.1965,90636,
0356-133X,01.01.1960,31.12.1960,72692,
0356-133X,01.01.1956,31.12.1956,64269,
0356-133X,01.01.1950,31.12.1950,50117,
0356-133X,01.01.1945,31.12.1945,49390,
0356-133X,01.01.1940,31.12.1940,30540,
0356-133X,01.01.1935,31.12.1935,25110,
0356-133X,01.01.1930,31.12.1930,28600,
0356-133X,01.01.1925,31.12.1925,22000,
0356-133X,01.01.1920,31.12.1920,21000,
0356-133X,01.01.1915,31.12.1915,13950,
0356-133X,01.01.1910,31.12.1910,8000,
0356-133X,01.01.1905,31.12.1905,5000,
0358-1705,01.01.2003,31.12.2003,47133,
0359-1441,01.01.2003,31.12.2003,7179,
0357-3702,01.01.2002,31.12.2002,34090,
0357-3702,01.01.2003,31.12.2003,34488,
0357-3702,01.01.2004,31.12.2004,34608,
0782-6192,01.01.2003,31.12.2003,7913,
0356-2298,01.01.2003,31.12.2003,14624,
0356-2751,01.01.2003,31.12.2003,30097,
