ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
1457-4403,01.01.1861,31.12.1861,382,
1457-4403,01.01.1860,31.12.1860,486,
1457-4403,01.01.1859,31.12.1859,657,
1457-4403,03.09.1858,31.12.1858,719,
0356-2328,01.01.1997,31.12.1997,5960,
0356-2328,01.01.1996,31.12.1996,6052,
0356-2328,01.01.1995,31.12.1995,6536,
0356-2328,01.01.1992,31.12.1994,6803,
0356-2328,01.01.1990,31.12.1991,6739,
0356-2840,01.01.1993,31.12.1007,84000,
0356-2840,01.01.1990,31.12.1992,87000,
0781-1926,01.01.1997,31.12.1997,5803,
0781-1926,01.01.1996,31.12.1996,6800,
0781-1926,01.01.1993,31.12.1995,7680,
0781-1926,01.01.1992,31.12.1992,7448,
0781-1926,01.01.1990,31.12.1991,7910,
0356-2298,01.01.1998,31.12.1998,16550,
0356-2298,01.01.1997,31.12.1997,16542,
0356-2298,01.01.1996,31.12.1996,18588,
0356-2298,01.01.1994,31.12.1995,19522,
0356-2298,01.01.1992,31.12.1993,19986,
0356-2298,01.01.1990,31.12.1991,20019,
1457-439X,01.01.1866,,1000,
1457-439X,01.01.1865,31.12.1865,1224,
1457-439X,01.01.1864,31.12.1864,1455,
1457-439X,01.01.1863,31.12.1863,1705,
1457-439X,01.01.1862,31.12.1862,2098,
1457-439X,01.01.1860,31.12.1861,2356,
1457-439X,01.01.1859,31.12.1859,2273,
1457-439X,01.01.1858,31.12.1858,2090,
1457-439X,01.01.1857,31.12.1857,2012,
1457-439X,01.01.1856,31.12.1856,1927,
1457-439X,01.01.1855,31.12.1855,1786,
1457-439X,01.01.1854,31.12.1854,1581,
1457-439X,01.01.1853,31.12.1853,1506,
1457-439X,01.01.1852,31.12.1852,1305,
1457-439X,01.01.1851,31.12.1851,1179,
1457-439X,01.01.1850,31.12.1850,1184,
1457-439X,01.01.1849,31.12.1849,1086,
1457-439X,01.01.1848,31.12.1848,1002,
1457-439X,01.01.1847,31.12.1847,933,
1457-439X,01.01.1846,31.12.1846,897,
1457-439X,01.01.1845,31.12.1845,877,
1457-439X,01.01.1844,31.12.1844,902,
1457-439X,01.01.1843,31.12.1843,850,
1457-439X,01.01.1842,31.12.1842,717,
1457-439X,01.01.1841,31.12.1841,923,
1457-439X,01.01.1840,31.12.1840,933,
1457-439X,01.01.1839,31.12.1839,970,
1457-439X,01.01.1837,31.12.1838,939,
1457-439X,01.01.1836,31.12.1836,872,
1457-439X,01.01.1835,31.12.1835,766,
1457-439X,01.01.1834,31.12.1834,660,
1457-439X,01.01.1833,31.12.1833,527,
1457-439X,01.01.1831,31.12.1832,318,
1457-439X,01.01.1830,31.12.1830,308,
1457-439X,03.01.1829,31.12.1829,321,
0789-6700,01.01.1998,31.12.1998,27952,
0789-6700,01.01.1997,31.12.1997,28463,
0789-6700,01.01.1995,31.12.1996,29821,
0789-6700,01.01.1994,31.12.1994,30353,
0789-6700,01.01.1993,31.12.1993,31401,
0789-6700,01.01.1992,31.12.1992,32268,
0789-6700,30.09.1991,31.12.1991,34040,
0356-1283,01.01.1998,31.12.1998,55056,
0356-1283,01.01.1997,31.12.1997,54296,
0356-1283,01.01.1996,31.12.1996,54331,
0356-1283,01.01.1995,31.12.1995,55158,
0356-1283,01.01.1994,31.12.1994,56340,
0356-1283,01.01.1993,31.12.1993,56043,
0356-1283,01.01.1992,31.12.1992,56480,
0356-1283,01.01.1991,31.12.1991,57536,
0356-1283,01.01.1990,31.12.1990,56645,
0356-1135,01.01.1997,31.12.1997,52788,
0356-1135,01.01.1996,31.12.1996,57355,
0356-1135,01.01.1995,31.12.1995,59299,
0356-1135,01.01.1994,31.12.1994,58650,
0356-1135,01.01.1992,31.12.1993,68439,
0356-1135,01.01.1991,31.12.1991,67625,
0356-1135,01.01.1990,31.12.1990,70229,
0358-1934,01.01.1997,31.12.1998,8125,
0358-1934,01.01.1995,31.12.1996,8387,
0358-1934,01.01.1993,31.12.1994,8655,
0356-1291,01.01.1998,31.12.2006,3741,
0358-1934,01.01.1991,31.12.1992,9030,
0358-1934,01.01.1990,31.12.1990,8797,
0356-1291,01.01.1995,31.12.1997,4081,
0356-1291,01.01.1994,31.12.1994,4800,
0356-1291,01.01.1992,31.12.1993,4622,
0356-1291,01.01.1990,31.12.1991,4721,
0782-5382,01.01.1996,31.12.1996,5782,
0782-5382,01.01.1995,31.12.1995,6034,
0782-5382,01.01.1992,31.12.1994,6310,
0782-5382,01.01.1991,31.12.1991,6353,
0782-5382,01.01.1990,31.12.1990,6488,
0789-8142,01.01.1994,31.12.1994,7335,
0789-8142,01.01.1992,31.12.1993,7909,
0789-8142,01.01.1990,31.12.1991,8008,
fk10028,07.12.1911,31.12.1912,6000,
1457-4446,01.01.1847,31.12.1845,350,
1457-4446,01.01.1846,31.12.1846,418,
1457-4446,04.01.1845,31.12.1845,352,
1457-4446,04.01.1845,31.12.1845,,
0356-4894,01.01.1998,31.12.1999,7576,
0356-4894,01.01.1997,31.12.1997,7715,
0356-4894,01.01.1996,31.12.1996,7873,
0356-4894,01.01.1995,31.12.1995,7997,
0356-4894,01.01.1994,31.12.1994,8216,
0356-4894,01.01.1993,31.12.1993,8487,
0356-4894,01.01.1992,31.12.1992,8663,
0356-4894,01.01.1991,31.12.1991,8758,
0356-4894,01.01.1990,31.12.1990,8801,
0356-1356,01.01.1998,31.12.1998,83883,
0356-1356,01.01.1997,31.12.1997,83867,
0356-1356,01.01.1995,31.12.1996,85222,
0356-1356,01.01.1994,31.12.1994,87615,
0356-1356,01.01.1993,31.12.1993,95118,
0356-1356,01.01.1992,31.12.1992,97149,
0356-1356,01.01.1991,31.12.1991,96955,
0356-1356,01.01.1990,31.12.1990,95461,
0789-0192,01.01.1996,31.12.1996,4459,
0789-0192,01.01.1994,31.12.1995,4776,
0789-0192,01.01.1992,31.12.1993,5079,
0789-0192,01.01.1990,31.12.1991,5157,
0788-8325,01.01.1998,31.12.1998,29637,
0788-8325,01.01.1997,31.12.1997,29502,
0788-8325,01.01.1996,31.12.1996,30180,
0788-8325,01.01.1995,31.12.1995,30416,
0788-8325,01.01.1994,31.12.1994,31241,
0788-8325,01.01.1993,31.12.1993,32941,
0788-8325,01.01.1992,31.12.1992,35247,
0788-8325,01.01.1991,31.12.1991,35121,
0788-8325,01.01.1990,31.12.1990,35004,
0788-8325,01.01.1985,31.12.1985,32746,
0789-662X,01.01.1996,31.12.1998,6248,
0785-398X,01.01.1997,31.12.1998,6977,
0789-662X,01.01.1995,31.12.1996,6419,
0789-662X,01.01.1993,31.12.1994,6590,
0789-662X,01.01.1991,31.12.1992,6861,
0789-662X,01.01.1990,31.12.1990,6823,
0785-398X,01.01.1996,31.12.1996,6928,
0785-398X,01.01.1994,31.12.1995,7447,
0785-398X,01.01.1992,31.12.1993,8034,
0785-398X,01.01.1991,31.12.1991,7955,
0785-398X,01.01.1990,31.12.1990,8003,
0782-5528,01.01.1998,31.12.1998,12326,
0782-5528,01.01.1997,31.12.1997,12118,
0782-5528,01.01.1996,31.12.1996,11972,
0782-5528,01.01.1995,31.12.1995,11909,
0782-5528,01.01.1994,31.12.1994,11873,
0782-5528,01.01.1993,31.12.1993,11952,
